v1;v2
0;εκανα εγγραφη στο skroutz και οπουδηποτε αλλου αναφερεται αυτο το τηλεφωνο μονο και μονο για να γραψω τα χαλια της μπαταριας του ειμαι ολιγαρκης στην χρηση του κινητου 8 η μπαταρια 100 τρεις κλησεις και 10 λεπτα ενεργοποιημενα τα δεδομενα στις 11 η ωρα η μπαταρια στο 60 ακομα 5 λεπτα ενεργοποιημενα τα δεδομενα και 2 κλησεις η μπαταρια στις 1 30 1 2 κλησεις ακομα η μπαταρια στις 3 στα κοκκινα να σημειωσω οτι η διαρκεια των κλησεων μου δεν ειναι μεγαλυτερη των τριων λεπτων δυο φορες στο service η απαντηση ειναι οτι το τηλεφωνο περναει το τεστ των 3 1 2 ωρων σε βιντεο επειδη το στομαχι μου κοστιζει περισσοτερο για να μην το σπασω απο τα νευρα μου το τηλεφωνο στον πατο της θαλασσας στην κυριολεξια
0;απο που να αρχισω κανει μονο του επανεκκινησεις κολλαει οταν κανω zoom γεμιζει pixels οταν του εκανα format δεν σταματησε τις επανεκκινησεις ξεκινησε να κολλαει περισσοτερο παμε σε θεμα χωροι λεει για 16GB και εχει 8 GB μπαταρια μεσα σε 5 λεπτα απο 100 εχει κατεβει 70 με φωτεινοτητα τερμα χαμηλα προσοχη μην πετατε τα λεφτα σας σε τετοια κινητα
0;πιο μουφα 8 megapixels και 3 2 δεν εχω ξαναδει οι φωτογραφιες ειναι σκετη απογοητευση οσο για την μπαταρια δεν το συζηταμε δεν ξερω γιατι να πρωτοκλαψω τεσσερις συσκευες MLS και ακομη μυαλο δεν εβαλα αλλα ποτε δεν ειναι αργα τερμα
0;απαραδεκτο γιατι κολλαει συνεχεια MAKPIA
0;θελησα να στηριξω την ελληνικη εταιρια με τα κινεζικα προιοντα πηρα αυτο το κινητο και αισθανθηκα κοροιδο αθλια αναλυση φωτογραφιων και βιντεο αργο το gps δεν συντονιζεται την καρτα μνημης οποτε θελει την αναγνωριζει οποτε θελει οχι αποφυγετε τυχον αγρα του
0;μακρια απο αυτο το κινητο μετα απο 1 5 χρονο χρηση και αλλαγη της μπαταριας πριν ενα χρονο η μπαταρια ανατιναχτηκε και ολο το κινητο παει
0;το χειροτερο κινητο που εχω παρει η μπαταρια φουσκωσε 2 φορες χωρις κανενα προφανη λογο αφου εκανα συντηρητικη χρηση και την αλλαξα 2 φορες οι φωτο ειναι παρα πολυ κακες αφου χανουν αναλυση και ποιοτητα απο παντου το βιντεο ειναι μετριο η μνημη ram και rom παρα πολυ μικρες με αποτελεσμα να σβηνω συνεχεια εφαρμογες και γενικα ειναι το κινητο που μολις ακουω mls παιρνω δρομο
0;δεν εμεινα ικανοποιημενη οι φωτογραφιες πιξελιαζουν το βιντεο ειναι αρκετα καλο αλλα δεν αντισταθμιζει τις χαλια φωτο οι selfie τιποτα το ιδιαιτερο το ηχειο του ειναι οκ και η ποιοτητα κλησης καλη ομως μετα απο λιγους μηνες και χωρις να εχει γινει τιποτα απολυτως η μπαταρια φουσκωσε σταματησε να φορτιζει σωστα και η ενδειξη μπαταριας εγινε εικονικη με αποτελεσμα να απενεργοποιειται το κινητο καθε φορα που ανοιγω wifi Bluetooth η κατα τη διαρκεια μισου λεπτου κλησης ευτυχως το καλυψε η εγγυηση
0;μακρια απο αυτο το πραγμα
0;οτι χειροτερο υπαρχει μακρια απο MLS προτιμηστε οποιαδηποτε αλλη μαρκα εκτοσ απο MLS
